AuthorID,Author,Date,Content,Attachments,Reactions
838457928805646000.00,discordtest1#5544,03/05/2021 22:31,cheetah just gets wings and gills,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:32,he's adaptable,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:32,haha,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:32,wonder what its gonna be,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:33,haha,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:34,that's a very active table,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:34,ha ha! in no way is that a table,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:34,I mean I know they have legs and all but its rare you get to see them used in the wild,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:35,What race are you?,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:35,halfling,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:37,Cheetah table is prowling menacingly in a tabletop fashion,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:38,I love my cheetah friend,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:38,get the cheetah to eat the bird,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:38,like lion king style,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:38,YES,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:38,i mean... his bird is part of his soul..,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:38,and its on fire...,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:39,and tasty,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:39,barbeque flavour,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:39,nice and crispy,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:41,do they notice the explosion,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:41,those typically soft and gentle explosions,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:41,i know right- liam was just checking if the rats scattered,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:41,we previously had to fight off a swarm of rats,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:41,that's fair,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:42,phrasing got me though haha,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:47,Watching this like a bedtime story now,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:48,Torm is a good DM to be fair,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:48,"Yeah, noticing that",,
845252450285912000.00,discordtest2#1420,03/05/2021 22:49,he's really on it all the time- small things like already knowing the sarcophacos was open,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:49,That kind of stuff really pulls it all together,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:49,"So, you do this every Monday then?",,
845252450285912000.00,discordtest2#1420,03/05/2021 22:50,yeah,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:56,Everyone else with their dark vision and this hobbit just bumbling around,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:56,yup,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:57,even my cheetah can see but cant help me out,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:57,Haha,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:57,Shame you don't have a mind link,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:58,yeah,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:59,You should definitely not touch those,,
838457928805646000.00,discordtest1#5544,03/05/2021 23:03,Ohhhhhh,,
838457928805646000.00,discordtest1#5544,03/05/2021 23:04,Compliments to the DM,,
838457928805646000.00,discordtest1#5544,03/05/2021 23:05,Role play more fun than combat,,
838457928805646000.00,discordtest1#5544,03/05/2021 23:05,If you have the right people,,
845252450285912000.00,discordtest2#1420,03/05/2021 23:06,The more you get to know the group the better it is,,
838457928805646000.00,discordtest1#5544,03/05/2021 23:06,Yeah!,,
845252450285912000.00,discordtest2#1420,03/05/2021 23:06,You missed the pub argument between me and Gerry,,
845252450285912000.00,discordtest2#1420,03/05/2021 23:06,it was pretty good,,
838457928805646000.00,discordtest1#5544,03/05/2021 23:06,Ah shame,,
838457928805646000.00,discordtest1#5544,03/05/2021 23:06,Yep,,
838457928805646000.00,discordtest1#5544,03/05/2021 23:08,Pretty chill group,,
845252450285912000.00,discordtest2#1420,03/05/2021 23:08,indeed,,
